09-12 01:41:54.621 I/SseConnManager( 3756): Connected to server e3b2d58c-786f-427c-b396-bd9749980e5e
09-12 01:41:54.634 I/SseConnManager( 3756): Connected to server 10afe73c-67e8-4631-88c1-b2fc9200fecc
09-12 01:41:55.719 I/SseConnManager( 3756): Connected to server c410acc0-7de2-43d8-b854-d1e82c211f61
09-12 01:41:55.757 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-9436
09-12 01:41:55.758 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-1a77
09-12 01:41:55.758 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-e391
09-12 01:41:55.759 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-86d6
09-12 01:41:55.759 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-0a1c
09-12 01:41:55.759 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-6a24
09-12 01:41:55.760 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-8953
09-12 01:41:55.760 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-0494
09-12 01:41:55.761 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-a84e
09-12 01:41:55.761 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-7e30
09-12 01:41:55.762 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-23a6
09-12 01:41:55.762 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-db2b
09-12 01:41:55.762 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=2ab47ec4-01d
09-12 01:44:29.386 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=session-9436
09-12 01:44:57.222 D/EventDispatcher( 3756): [dispatch] JobsSnapshot -> DshJobsHandler sid=2ab47ec4-01d
